;Russia;;Belarus;;United States;;China;;Estonia;;Latvia;;Lithuania;;Taiwan;;Norway;;Switzerland;;Sweden;;Denmark;;Finland;;Germany;;France;;Spain;;Austria;;Italy;;Australia;;Singapore;;Poland;;Czech Republic;;Slovakia;;Slovenia;;Netherlands;;United Kingdom;;Ireland;;Japan;;Croatia;;Israel;;Puerto Rico;;Afghanistan;;Korea Republic of;;Azerbaijan;;Cyprus;;Greece;;Viet Nam;;Serbia;;Tanzania: Mainland;;Uzbekistan;;Iran (Islamic Republic of);;Hungary;;India;;Canada;;Brazil;;Mexico;;Argentina;;Chile;;Belgium;;Austria;;Denmark;;Finland;;France;;Germany;;Greece;;Ireland;;Italy;;Luxembourg;;Netherlands;;Portugal;;Spain;;Sweden;;United Kingdom;;Bulgaria;;Croatia;;Cyprus;;Czech Republic;;Estonia;;Hungary;;Latvia;;Lithuania;;Malta;;Poland;;Romania;;Slovakia;;Slovenia;
;RUS;;BLR;;USA;;CHN;;EST;;LVA;;LTU;;TWN;;NOR;;CHE;;SWE;;DNK;;FIN;;DEU;;FRA;;ESP;;AUT;;ITA;;AUS;;SGP;;POL;;CZE;;SVK;;SVN;;NLD;;GBR;;IRL;;JPN;;HRV;;ISR;;PRI;;AFG;;KOR;;AZE;;CYP;;GRC;;VNM;;SRB;;TZA;;UZB;;IRN;;HUN;;IND;;CAN;;BRA;;MEX;;ARG;;CHL;;BEL;;AUT;;DNK;;FIN;;FRA;;DEU;;GRC;;IRL;;ITA;;LUX;;NLD;;PRT;;ESP;;SWE;;GBR;;BGR;;HRV;;CYP;;CZE;;EST;;HUN;;LVA;;LTU;;MLT;;POL;;ROM;;SVK;;SVN;
;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP;PC;GDP
1996;24.7;2643.929199;33.5;1427.268964;91.7;29967.71272;37.9;713.3373878;74.1;3380.926302;62;2360.171482;69.2;2340.67546;81.3;13588.306;98.9;37321.9742;96.7;48092.6433;97.8;33022.24448;98.3;35621.98781;97.2;25756.67771;94.5;30599.7891;88.4;26757.63515;86.2;16100.62158;95;29645.94513;80.7;23122.93372;93.4;22055.83849;92.8;26232.8661;78;4163.511954;79.6;6573.196431;70.3;5247.70081;84;10796.73994;99.4;29063.62365;93.9;24503.38296;92.3;20835.89771;85.7;39150.03963;42.3;5299.641054;78.5;20224.27891;79.1;12173.16369;0.5;0;71.9;13864.93765;8.7;409.1855438;82.9;15139.2207;76.9;13432.52622;36.8;337.0512318;14.8;3053.905169;28.5;313.6583862;9.8;597.332287;27.4;1914.781213;81.8;4542.012038;50;401.0467547;95.6;21296.97235;59.8;5179.13052;44.5;4674.367927;61.5;7663.212713;86.8;5333.504387;91.2;27489.55518;95;29645.94513;98.3;35621.98781;97.2;25756.67771;88.4;26757.63515;94.5;30599.7891;76.9;13432.52622;92.3;20835.89771;80.7;23122.93372;96.1;50444.35912;99.4;29063.62365;89;12185.0914;86.2;16100.62158;97.8;33022.24448;93.9;24503.38296;52.1;1470.192593;42.3;5299.641054;82.9;15139.2207;79.6;6573.196431;74.1;3380.926302;81.8;4542.012038;62;2360.171482;69.2;2340.67546;82.4;10061.85019;78;4163.511954;53.8;1633.010644;70.3;5247.70081;84;10796.73994
1998;23.6;1834.861816;34;1511.325316;91.7;32853.67695;35.7;835.0953486;78.5;4093.392477;66.4;2893.799987;69.2;3180.644986;81.3;12767.078;97.2;34803.46341;97.8;42680.58673;96.7;30605.36691;98.9;33346.48843;100;25999.98617;93.4;27395.94406;87.9;24869.40308;86.2;15382.33486;92.8;27212.46429;80.2;22365.18376;94.5;21516.04031;91.2;21829.27378;76.3;4533.535655;77.4;6526.596358;71.9;5560.916178;85.7;11131.56666;99.4;27924.28181;95;28396.35235;92.3;24294.85477;83.5;32423.75561;46.1;5712.589857;75.2;20188.81415;79.6;14304.40499;0;0;70.3;8583.435575;13.7;561.9068079;82.9;15092.82813;79.1;13022.96488;35.1;361.3509284;8.2;2775.47373;32.4;386.3784485;8.7;621.0489043;29.1;1709.193341;81.8;4751.773243;50;413.6308641;96.1;21024.58507;56.5;5105.892462;52.7;5832.69342;58.2;8218.992128;82.4;5419.824173;89.5;25338.44329;92.8;27212.46429;98.9;33346.48843;100;25999.98617;87.9;24869.40308;93.4;27395.94406;79.1;13022.96488;92.3;24294.85477;80.2;22365.18376;95.6;47445.38108;99.4;27924.28181;88.4;12199.20639;86.2;15382.33486;96.7;30605.36691;95;28396.35235;60.9;1820.448664;46.1;5712.589857;82.9;15092.82813;77.4;6526.596358;78.5;4093.392477;81.8;4751.773243;66.4;2893.799987;69.2;3180.644986;84.6;10408.11574;76.3;4533.535655;51.6;1852.554969;71.9;5560.916178;85.7;11131.56666
2000;22.5;1771.594116;27.4;1276.288034;92.3;36329.95607;37.9;969.1995137;79.6;4070.609024;64.2;3278.178964;68.1;3300.636349;80.2;14844.238;95.6;38178.23688;98.3;38865.02194;97.8;29632.58908;98.9;30722.02518;100;24335.92251;93.4;23925.85599;89;22340.59395;88.4;14743.2671;92.8;24487.29747;81.3;20190.00356;94.5;21908.9968;91.7;23852.83895;74.1;4520.641004;71.4;6062.921528;71.9;5421.644844;80.7;10135.72191;99.4;26225.16977;93.9;28383.87611;91.2;26334.56721;85.1;39169.35957;61.5;4953.651588;75.8;21706.51941;81.8;16192.12697;0;174.9309914;72.5;12710.29958;14.2;655.0972496;83.5;14388.35254;79.1;11638.20107;37.3;404.0297841;9.3;974.7254693;34;401.6981506;6;555.1492311;31.3;1650.013858;82.4;4629.917608;49.4;442.7502189;95;24271.00206;59.8;3766.547863;56;7524.027138;57.1;7637.014892;85.7;5052.992458;90.6;23098.88651;92.8;24487.29747;98.9;30722.02518;100;24335.92251;89;22340.59395;93.4;23925.85599;79.1;11638.20107;91.2;26334.56721;81.3;20190.00356;97.2;48659.59888;99.4;26225.16977;86.2;11526.37207;88.4;14743.2671;97.8;29632.58908;93.9;28383.87611;59.3;1621.262107;61.5;4953.651588;83.5;14388.35254;71.4;6062.921528;79.6;4070.609024;82.4;4629.917608;64.2;3278.178964;68.1;3300.636349;84.6;10348.48589;74.1;4520.641004;48.3;1659.929049;71.9;5421.644844;80.7;10135.72191
2002;29.3;2377.529541;25;1479.380663;91.3;37997.75966;30.9;1163.559577;80.4;5343.183108;69.5;4003.609358;71.1;4148.130915;81.5;13651.355;95.6;43170.55717;97.8;42458.73847;98.3;29957.77767;99.4;33257.16226;100;26989.38926;93.4;25486.5942;86.4;24144.5727;88;17111.06851;94.5;26334.86222;79.3;22451.39644;94;20335.09602;91.8;22159.83737;71.7;5223.45179;79.8;8101.260186;70.1;6554.628084;80.9;11639.12978;96.1;29446.53309;92.9;30158.70178;92.3;32705.43456;83.1;32820.79364;65.7;6219.581641;75.5;19076.45843;82;18731.45939;1;178.9540884;75;13642.94245;18.4;763.1088955;84.7;16093.21582;77.1;13782.19564;32.6;445.1328618;31.5;2390.734594;36.4;402.6490479;7;381.4092969;26.6;1891.257561;82.6;6658.044943;46.1;469.149929;95.1;24256.01923;59.2;2855.940171;56.5;7983.033984;41.8;2569.699635;88.5;4430.847412;90.7;25006.1914;94.5;26334.86222;99.4;33257.16226;100;26989.38926;86.4;24144.5727;93.4;25486.5942;77.1;13782.19564;92.3;32705.43456;79.3;22451.39644;98.9;53005.73392;96.1;29446.53309;89.1;12936.69282;88;17111.06851;98.3;29957.77767;92.9;30158.70178;60.3;2092.982886;65.7;6219.581641;84.7;16093.21582;79.8;8101.260186;80.4;5343.183108;82.6;6658.044943;69.5;4003.609358;71.1;4148.130915;84.2;11251.20253;71.7;5223.45179;53.8;2119.855097;70.1;6554.628084;80.9;11639.12978
2003;29.3;2975.123047;26.6;1819.526531;89.6;39490.27496;30.4;1306.972454;82;7205.407033;71.1;4914.579928;76.6;5507.474342;81.5;14040.597;95.6;50250.32982;97.2;49335.74563;98.9;37292.24197;99.4;40519.09749;100;32920.08572;92.9;30711.10225;88;29479.52221;89.1;21522.0171;94;32110.11597;76;27577.57003;94.5;23757.58985;91.8;23730.38401;70.6;5720.813662;78.8;9852.456779;71.7;8675.396337;79.8;14711.67487;96.7;35896.75046;93.4;34556.77261;92.3;41203.52958;84.2;35387.03742;66.8;8190.111352;73.9;19643.46904;79.3;19557.12025;1;198.8711157;72.8;15211.54838;20.1;883.6925807;83.1;20252.24609;77.1;18020.61204;33.6;497.1170892;34.7;3153.901131;33.1;422.1835938;7;394.1640289;23.9;2208.996366;80.9;8410.092482;46.1;544.1431335;95.1;28301.86459;58.6;3090.606891;57;7434.074649;48.9;3320.477751;86.9;4773.401775;91.3;30655.20927;94;32110.11597;99.4;40519.09749;100;32920.08572;88;29479.52221;92.9;30711.10225;77.1;18020.61204;92.3;41203.52958;76;27577.57003;96.1;65689.32145;96.7;35896.75046;88.5;15797.78213;89.1;21522.0171;98.9;37292.24197;93.4;34556.77261;60.8;2719.494369;66.8;8190.111352;83.1;20252.24609;78.8;9852.456779;82;7205.407033;80.9;8410.092482;71.1;4914.579928;76.6;5507.474342;84.7;13593.97872;70.6;5720.813662;52.7;2679.40626;71.7;8675.396337;79.8;14711.67487
2004;26.7;4102.364746;23.2;2378.337005;90.9;41724.63163;28.7;1530.927262;84.8;8916.072827;71.2;6109.732652;76.2;6734.574871;85.8;15290.307;95.9;57768.6981;97.4;54659.45715;98.4;42758.00486;99.4;46625.0501;100;37768.13342;93.4;34566.73591;90.4;33644.92822;87.3;24925.02678;95.4;36614.25065;75.7;31348.19018;94.9;30886.05009;92.9;27608.08001;68.6;6711.727153;80.3;11782.55467;76.7;10650.12901;82.3;17103.82978;96.9;40611.34144;93.9;40504.41181;91.9;47754.20232;88.3;38298.98017;69.1;9718.973228;74.2;20568.06941;79.2;20988.99233;2.5;221.7636539;78.2;17121.63016;17.6;1045.013633;84.3;23792.61914;80.8;21449.25528;27.2;565.4522846;37.3;3597.087981;33.3;450.3852844;6;462.1714929;19.1;2672.422665;82.8;10291.26947;48.9;624.2588265;94.4;32145.54126;54.5;3663.822625;55;7849.667596;47.9;4242.020991;89.8;6120.591521;91.4;35429.40779;95.4;36614.25065;99.4;46625.0501;100;37768.13342;90.4;33644.92822;93.4;34566.73591;80.8;21449.25528;91.9;47754.20232;75.7;31348.19018;96.4;76544.91709;96.9;40611.34144;88.8;18064.15809;87.3;24925.02678;98.4;42758.00486;93.9;40504.41181;59.5;3389.687434;69.1;9718.973228;84.3;23792.61914;80.3;11782.55467;84.8;8916.072827;82.8;10291.26947;71.2;6109.732652;76.2;6734.574871;85.3;15212.13134;68.6;6711.727153;52;3494.990564;76.7;10650.12901;82.3;17103.82978
2005;24.6;5323.455078;22.6;3126.071767;89.9;44123.40707;26.6;1777.644968;81.9;10414.63812;70.3;7283.787381;74.8;7857.031488;83.9;16427.459;97.9;67047.17046;97.4;56242.89336;96.4;43378.40774;98.9;48925.80767;100;39049.87038;93.4;35084.43635;88.9;34696.37183;84.4;26450.95301;95.9;38157.37023;72.8;32062.72383;94.9;34535.20727;92.4;29961.31728;69.3;8043.923323;80.4;13442.49163;75.8;11641.54103;78.3;17969.70959;96.9;42165.39617;92.9;42240.2463;93.9;50933.02161;86.9;37812.89502;65.3;10443.52784;71.3;21286.83886;82.4;21959.3227;2.5;254.1842491;76.3;20167.04749;19.5;1578.36733;83.4;24959.26172;74.3;22054.13158;34.1;710.74676;33.1;3807.974173;38.6;483.3348694;3.5;542.8358087;19;3132.050819;80.9;11212.2047;49.2;710.4880804;95.4;36383.66001;52.2;4827.781659;53.7;8671.758919;50.2;5067.653423;89.4;7480.32331;91.4;36809.70134;95.9;38157.37023;98.9;48925.80767;100;39049.87038;88.9;34696.37183;93.4;35084.43635;74.3;22054.13158;93.9;50933.02161;72.8;32062.72383;94.4;80988.13762;96.9;42165.39617;85.4;18780.12751;84.4;26450.95301;96.4;43378.40774;92.9;42240.2463;58.7;3899.825963;65.3;10443.52784;83.4;24959.26172;80.4;13442.49163;81.9;10414.63812;80.9;11212.2047;70.3;7283.787381;74.8;7857.031488;84.9;15831.34405;69.3;8043.923323;53.2;4618.003508;75.8;11641.54103;78.3;17969.70959
2006;22.5;6920.199707;18.5;3848.223503;89;46302.00088;25.5;2129.25697;84.5;12641.4801;72.5;9211.737447;73;9210.101182;80.5;16892.883;97.5;74434.49968;98.5;59011.03246;98;46531.37622;100;52119.1788;99.5;41214.01878;93.5;36980.33499;88.5;36431.56589;83;28421.68653;95.5;40382.20783;72;33537.1287;94.5;36658.82435;92.5;33768.45282;67;9068.855283;79;15259.07882;77.5;13167.89547;81.5;19563.00506;96;45123.54324;93;44695.16102;94;54329.16186;88;35991.546;64;11501.20997;71.5;22527.26198;75.5;22935.94116;1.5;274.2185536;76;22609.70594;19.5;2472.957257;86;26729.28125;75;24416.0233;33.5;807.7566451;44.5;4492.71367;44;475.7467346;3.5;649.118167;14.5;3618.916014;81;11478.48916;52.5;801.6683537;95;40504.0371;52;5934.145619;53;9512.635753;51;5869.38029;89.5;9318.656553;90;38705.1068;95.5;40382.20783;100;52119.1788;99.5;41214.01878;88.5;36431.56589;93.5;36980.33499;75;24416.0233;94;54329.16186;72;33537.1287;97;90788.80049;96;45123.54324;84;19839.45405;83;28421.68653;98;46531.37622;93;44695.16102;60.5;4523.146558;64;11501.20997;86;26729.28125;79;15259.07882;84.5;12641.4801;81;11478.48916;72.5;9211.737447;73;9210.101182;86.5;16653.60369;67;9068.855283;55;5757.531273;77.5;13167.89547;81.5;19563.00506
